Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"4901 ALBURNETT RD",MARION,IA,52302,42.070032,-91.614808,1,rooftop,4901,"Alburnett Rd",Marion,IA,"Linn County",52302,US,Linn
"525 PALISADES RD SW","MOUNT VERNON",IA,52314,41.920266,-91.427761,1,rooftop,525,"Palisades Rd SW","Mount Vernon",IA,"Linn County",52314,US,Linn
"600 1ST ST, MT VERNON, IA 52314","MOUNT VERNON",IA,52314,41.925536,-91.422121,0.9,rooftop,600,"1st St NW","Mount Vernon",IA,"Linn County",52314,US,Linn
"3275 NORTH CENTER POINT RD","CEDAR RAPIDS",IA,52411,42.088747,-91.690192,1,rooftop,3275,"N Center Point Rd","Cedar Rapids",IA,"Linn County",52411,US,Linn
"4201 BIG BLUESTEM CIR",MARION,IA,52302,42.01408,-91.566744,0.6,rooftop,4201,"Big Bluestem Dr",Marion,IA,"Linn County",52302,US,Linn
"300 WEST AVE",PRAIRIEBURG,IA,52219,42.236242,-91.425681,1,rooftop,300,"West Ave",Prairieburg,IA,"Linn County",52219,US,Linn
"252 BROADWAY ST",SPRINGVILLE,IA,52336,42.059064,-91.443103,1,rooftop,252,"Broadway St",Springville,IA,"Linn County",52336,US,Linn
"4521 BOY SCOUT RD","CENTRAL CITY",IA,52214,42.189198,-91.457343,1,rooftop,4521,"Boy Scouts Rd","Central City",IA,"Linn County",52214,US,Linn
"5200 E AVE NW","CEDAR RAPIDS",IA,52405,41.980233,-91.738427,1,rooftop,5200,"E Ave NW","Cedar Rapids",IA,"Linn County",52405,US,Linn
"401 78TH AVE SW","CEDAR RAPIDS",IA,52404,41.919542,-91.704467,0.33,place,,,"Cedar Rapids",IA,"Linn County",52404,US,"TIGER/Line® dataset from the US Census Bureau"
"300 80TH ST CT",FAIRFAX,IA,52228,41.930698,-91.774024,0.9,rooftop,300,"80th Street Ct",Fairfax,IA,"Linn County",52228,US,Linn
"1006 1ST ST",PALO,IA,52324,42.067943,-91.795608,1,range_interpolation,1006,"1st St",Palo,IA,"Linn County",52324,US,"TIGER/Line® dataset from the US Census Bureau"
"235 W SCHOOL ST",LISBON,IA,52314,41.919007,-91.388943,0.9,rooftop,235,"W School St",Lisbon,IA,"Linn County",52253,US,Linn
"204 GREENE ST",WALKER,IA,52352,42.286247,-91.78114,1,rooftop,204,"Greene St",Walker,IA,"Linn County",52352,US,Linn
"400 BARBER ST","CENTRAL CITY",IA,52214,42.208865,-91.525874,1,rooftop,400,"Barber St","Central City",IA,"Linn County",52214,US,Linn
"310 VIRGIL AVE","MOUNT VERNON",IA,52314,41.914443,-91.42305,1,range_interpolation,310,"Virgil Ave","Mount Vernon",IA,"Linn County",52314,US,"TIGER/Line® dataset from the US Census Bureau"
"137 N. 4TH ST","CENTRAL CITY",IA,52214,42.205541,-91.524672,1,range_interpolation,137,"N 4th St","Central City",IA,"Linn County",52214,US,"TIGER/Line® dataset from the US Census Bureau"
"1954 COUNTY HOME ROAD",MARION,IA,52302,42.093086,-91.554842,1,rooftop,1954,"County Home Rd",Marion,IA,"Linn County",52302,US,Linn
"10260 MORRIS HILL RD",TODDVILLE,IA,52341,42.083013,-91.764856,1,rooftop,10260,"Morris Hills Rd",Toddville,IA,"Linn County",52341,US,Linn
"6101 GIBSON DR NE","CEDAR RAPIDS",IA,52411,42.039457,-91.714427,1,rooftop,6101,"Gibson Dr NE","Cedar Rapids",IA,"Linn County",52411,US,Linn
"131 ROOSEVELT ST",ALBURNETT,IA,52202,42.150148,-91.619794,1,rooftop,131,"Roosevelt St",Alburnett,IA,"Linn County",52202,US,Linn
"401 76TH AVE SW","CEDAR RAPIDS",IA,52404,41.903214,-91.669445,1,rooftop,401,"76th Ave SW","Cedar Rapids",IA,"Linn County",52404,US,Linn
"3033 LYNX DR","TROY MILLS",IA,52344,42.291167,-91.66125,0.9,rooftop,3033,"Lynx Dr",Coggon,IA,"Linn County",52218,US,Linn
"613 SUMMIT ST","CENTER POINT",IA,52213,42.189222,-91.786011,1,rooftop,613,"Summit St","Center Point",IA,"Linn County",52213,US,Linn
"1212 COLTON ST","COLUMBUS JUNCTION",IA,52738,41.267993,-91.368051,1,range_interpolation,1212,"Colton St","Columbus Junction",IA,"Louisa County",52738,US,"TIGER/Line® dataset from the US Census Bureau"
"14506 170TH ST",GRANDVIEW,IA,52754,41.305743,-91.204726,0.9,range_interpolation,14506,"170th St",Letts,IA,"Louisa County",52754,US,"TIGER/Line® dataset from the US Census Bureau"
"311 E DIVISION ST","MORNING SUN",IA,52640,41.09575,-91.248401,1,range_interpolation,311,"E Division St","Morning Sun",IA,"Louisa County",52640,US,"TIGER/Line® dataset from the US Census Bureau"
"501 BUCHANAN AVE",WAPELLO,IA,52653,41.180111,-91.189593,1,range_interpolation,501,"Buchanan Ave",Wapello,IA,"Louisa County",52653,US,"TIGER/Line® dataset from the US Census Bureau"
"1212 COLTON ST","COLUMBUS JUNCTION",IA,52738,41.267993,-91.368051,1,range_interpolation,1212,"Colton St","Columbus Junction",IA,"Louisa County",52738,US,"TIGER/Line® dataset from the US Census Bureau"
"501 N GRAND",CHARITON,IA,50049,41.019463,-93.307619,1,rooftop,501,"N Grand St",Chariton,IA,"Lucas County",50049,US,Lucas
"501 N GRAND",CHARITON,IA,50049,41.019463,-93.307619,1,rooftop,501,"N Grand St",Chariton,IA,"Lucas County",50049,US,Lucas
"501 N GRAND",CHARITON,IA,50049,41.019463,-93.307619,1,rooftop,501,"N Grand St",Chariton,IA,"Lucas County",50049,US,Lucas
"110 E FRONT ST",LUCAS,IA,50151,41.028605,-93.457216,0.6,street_center,,"E Front St",Lucas,IA,"Lucas County",50151,US,"TIGER/Line® dataset from the US Census Bureau"
"501 N GRAND",CHARITON,IA,50049,41.019463,-93.307619,1,rooftop,501,"N Grand St",Chariton,IA,"Lucas County",50049,US,Lucas
"106 W STANTON ST",RUSSELL,IA,50238,40.985789,-93.198024,0.9,range_interpolation,106,"W Stanton St",Russell,IA,"Lucas County",50238,US,"TIGER/Line® dataset from the US Census Bureau"
"106 W STANTON ST",RUSSELL,IA,50238,40.985789,-93.198024,0.9,range_interpolation,106,"W Stanton St",Russell,IA,"Lucas County",50238,US,"TIGER/Line® dataset from the US Census Bureau"
"103 S MAIN ST",INWOOD,IA,,43.308315,-96.432015,1,range_interpolation,103,"S Main St",Inwood,IA,"Lyon County",51240,US,"TIGER/Line® dataset from the US Census Bureau"
"117 S MAIN ST",GEORGE,IA,,43.343113,-96.002186,1,range_interpolation,117,"S Main St",George,IA,"Lyon County",51237,US,"TIGER/Line® dataset from the US Census Bureau"
"103 S MAIN ST",INWOOD,IA,,43.308315,-96.432015,1,range_interpolation,103,"S Main St",Inwood,IA,"Lyon County",51240,US,"TIGER/Line® dataset from the US Census Bureau"
"1138 BROADWAY ST",LARCHWOOD,IA,,43.455067,-96.433962,1,range_interpolation,1138,"Broadway St",Larchwood,IA,"Lyon County",51241,US,"TIGER/Line® dataset from the US Census Bureau"
"1138 BROADWAY ST",LARCHWOOD,IA,,43.455067,-96.433962,1,range_interpolation,1138,"Broadway St",Larchwood,IA,"Lyon County",51241,US,"TIGER/Line® dataset from the US Census Bureau"
"117 S MAIN ST",GEORGE,IA,,43.343113,-96.002186,1,range_interpolation,117,"S Main St",George,IA,"Lyon County",51237,US,"TIGER/Line® dataset from the US Census Bureau"
"405 S 2ND AVE","ROCK RAPIDS",IA,,43.430943,-96.169888,1,range_interpolation,405,"S 2nd Ave","Rock Rapids",IA,"Lyon County",51246,US,"TIGER/Line® dataset from the US Census Bureau"
"405 S 2ND AVE","ROCK RAPIDS",IA,,43.430943,-96.169888,1,range_interpolation,405,"S 2nd Ave","Rock Rapids",IA,"Lyon County",51246,US,"TIGER/Line® dataset from the US Census Bureau"
"110 W SOUTH ST",MACKSBURG,IA,50155,41.332461,-94.012802,0.6,rooftop,110,"E South St",Winterset,IA,"Madison County",50273,US,Madison
"1146 W SUMMIT ST",WINTERSET,IA,50273,41.330104,-94.02791,1,range_interpolation,1146,"W Summit St",Winterset,IA,"Madison County",50273,US,"TIGER/Line® dataset from the US Census Bureau"
"611 W HWY 92",WINTERSET,IA,50273,41.344835,-94.007689,0.9,range_interpolation,611,"State Hwy 92",Winterset,IA,"Madison County",50273,US,"TIGER/Line® dataset from the US Census Bureau"
"150 E 1ST ST",EARLHAM,IA,50072,41.491452,-94.12225,1,range_interpolation,150,"E 1st St",Earlham,IA,"Madison County",50072,US,"TIGER/Line® dataset from the US Census Bureau"
"305 W. MAIN ST","ST. CHARLES",IA,50240,41.288505,-93.808921,1,rooftop,305,"W Main St","Saint Charles",IA,"Madison County",50240,US,Madison
"150 8TH ST",PATTERSON,IA,50218,41.349901,-93.880265,0.33,place,,,Patterson,IA,"Madison County",50218,US,"TIGER/Line® dataset from the US Census Bureau"
"405 E NORTH ST",TRURO,IA,50257,41.210086,-93.842652,1,range_interpolation,405,"E North St",Truro,IA,"Madison County",50257,US,"TIGER/Line® dataset from the US Census Bureau"
"404 S 2ND AVE",WINTERSET,IA,50273,41.331392,-94.01593,1,range_interpolation,404,"S 2nd Ave",Winterset,IA,"Madison County",50273,US,"TIGER/Line® dataset from the US Census Bureau"
"404 S. 2ND AVE",WINTERSET,IA,50273,41.331392,-94.01593,1,range_interpolation,404,"S 2nd Ave",Winterset,IA,"Madison County",50273,US,"TIGER/Line® dataset from the US Census Bureau"
"2163 135TH ST.","NEW SHARON",IA,50207,41.459041,-92.649833,1,range_interpolation,2163,"135th St","New Sharon",IA,"Mahaska County",50207,US,"TIGER/Line® dataset from the US Census Bureau"
"306 OTLEY ST.",LEIGHTON,IA,50143,41.338054,-92.787348,1,range_interpolation,306,"Otley St",Leighton,IA,"Mahaska County",50143,US,"TIGER/Line® dataset from the US Census Bureau"
"525 E. MAIN ST.",FREMONT,IA,52561,41.212422,-92.429366,0.9,range_interpolation,525,"E Main St",Fremont,IA,"Mahaska County",52561,US,"TIGER/Line® dataset from the US Census Bureau"
"1801 ORCHARD AVE.",OSKALOOSA,IA,52577,41.283366,-92.662675,0.33,place,,,Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"1816 N. 3RD ST.",OSKALOOSA,IA,52577,41.309073,-92.64138,1,range_interpolation,1816,"N 3rd St",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"201 W. TRUEBLOOD AVE.",OSKALOOSA,IA,52577,41.307606,-92.649446,1,range_interpolation,201,"W Trueblood Ave",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"1801 ORCHARD AVE.",OSKALOOSA,IA,52577,41.283366,-92.662675,0.33,place,,,Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"1704 N. 3RD ST.",OKALOOSA,IA,52577,41.308306,-92.641376,0.9,range_interpolation,1704,"N 3rd St",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"1816 N. 3RD ST.",OSKALOOSA,IA,52577,41.309073,-92.64138,1,range_interpolation,1816,"N 3rd St",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"2163 135TH ST.","NEW SHARON",IA,50207,41.459041,-92.649833,1,range_interpolation,2163,"135th St","New Sharon",IA,"Mahaska County",50207,US,"TIGER/Line® dataset from the US Census Bureau"
"2342 HIGHWAY 92",OSKALOOSA,IA,52577,41.29592,-92.610588,1,range_interpolation,2342,"IA 92",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
"300 MAIN ST.",HARVEY,IA,50119,41.315839,-92.925569,1,rooftop,300,"Main St",Harvey,IA,"Marion County",50119,US,Marion
"214 S. MAIN ST.",MELCHER-DALLAS,IA,50062,41.222279,-93.241704,1,range_interpolation,214,"S Main St",Dallas,IA,"Marion County",50062,US,"TIGER/Line® dataset from the US Census Bureau"
"1766 179TH PL.",PERSHING,IA,50138,41.266585,-93.008747,1,rooftop,1766,"179th Pl",Knoxville,IA,"Marion County",50138,US,Marion
"407 W. LARSON ST.",KNOXVILLE,IA,50138,41.328776,-93.103114,1,rooftop,407,"W Larson St",Knoxville,IA,"Marion County",50138,US,Marion
"213 E MONTGOMERY ST",KNOXVILLE,IA,50138,41.31712,-93.096815,1,rooftop,213,"E Montgomery St",Knoxville,IA,"Marion County",50138,US,Marion
"306 S PARK LN",KNOXVILLE,IA,50138,41.31394,-93.114549,1,range_interpolation,306,"S Park Lane Dr",Knoxville,IA,"Marion County",50138,US,"TIGER/Line® dataset from the US Census Bureau"
"1506 S ATTICA ROAD",KNOXVILLE,IA,50138,41.307186,-93.079943,1,rooftop,1506,"S Attica Rd",Knoxville,IA,"Marion County",50138,US,Marion
"210 N IOWA ST",KNOXVILLE,IA,50138,41.320531,-93.105966,1,rooftop,210,"N Iowa St",Knoxville,IA,"Marion County",50138,US,Marion
"812 UNIVERSITY ST",PELLA,IA,50219,41.400334,-92.918483,1,range_interpolation,812,"University St",Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"2204 HIGHWAY G71",BUSSY,IA,50044,41.219008,-92.926874,1,rooftop,2204,"Highway G71",Bussey,IA,"Marion County",50044,US,Marion
"215 SUMMIT ST.",OTLEY,IA,50214,41.465981,-93.037593,1,rooftop,215,"Summit St",Otley,IA,"Marion County",50214,US,Marion
"812 UNIVERSITY ST",PELLA,IA,50219,41.400334,-92.918483,1,range_interpolation,812,"University St",Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"415 BROADWAY ST",PELLA,IA,50219,41.401669,-92.918473,1,range_interpolation,415,"Broadway St",Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"814 UNIVERSITY ST",PELLA,IA,50219,41.400334,-92.918511,1,range_interpolation,814,"University St",Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"415 BROADWAY ST",PELLA,IA,50219,41.401669,-92.918473,1,range_interpolation,415,"Broadway St",Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"415 JONES ST.",PLEASANTVILLE,IA,50226,41.388189,-93.271734,0.9,range_interpolation,415,"Jones St",Pleasantville,IA,"Marion County",50225,US,"TIGER/Line® dataset from the US Census Bureau"
"1032 VIRGINIA ST.",COLUMBIA,IA,50067,41.17523,-93.151741,0.9,rooftop,1032,"Virginia St",Columbia,IA,"Marion County",50057,US,Marion
"114 MAIN ST",LISCOMB,IA,50148,42.189509,-93.004952,1,rooftop,114,"Main St",Liscomb,IA,"Marshall County",50148,US,Marshall
"25 MAIN ST",MELBOURNE,IA,50162,41.944298,-93.103024,1,rooftop,25,"Main St",Melbourne,IA,"Marshall County",50162,US,Marshall
"1016 S 3RD AVE",MARSHALLTOWN,IA,51058,42.035008,-92.907691,0.9,range_interpolation,1016,"S 3rd Avenue Pl",Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"3700 S CENTER ST",MARSHALLTOWN,IA,50158,42.03212,-92.91252,0.6,street_center,,"State Hwy 14",Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"2001 S 4TH ST",MARSHALLTOWN,IA,50158,42.024214,-92.919484,1,rooftop,2001,"S 4th St",Marshalltown,IA,"Marshall County",50158,US,Marshall
"212 W INGLEDUE ST",MARSHALLTOWN,IA,50158,42.032057,-92.917709,1,rooftop,212,"W Ingledue St",Marshalltown,IA,"Marshall County",50158,US,Marshall
"225 S ELM ST",GILMAN,IA,50106,41.878257,-92.784661,1,rooftop,225,"S Elm St",Gilman,IA,"Marshall County",50106,US,Marshall
"1315 W MAIN ST",MARSHALLTOWN,IA,50158,42.048951,-92.936642,0.9,range_interpolation,1315,"W Main St",Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"209 S MAIN ST",LAUREL,IA,50141,41.882673,-92.922412,1,rooftop,209,"S Main St",Laurel,IA,"Marshall County",50141,US,Marshall
"206 N VINE ST","LE GRAND",IA,50142,42.008581,-92.774324,1,rooftop,206,"N Vine St","Le Grand",IA,"Marshall County",50142,US,Marshall
"202 BEVINS ST",CLEMONS,IA,50051,42.114661,-93.156312,1,rooftop,202,"Bevin St",Clemons,IA,"Marshall County",50051,US,Marshall
"601 3RD ST NW","STATE CENTER",IA,50247,42.018649,-93.170999,1,range_interpolation,601,"3rd St NW","State Center",IA,"Marshall County",50247,US,"TIGER/Line® dataset from the US Census Bureau"
"1710 WALLACE AVE","GREEN MOUNTAIN",IA,50632,42.104643,-92.824921,0.9,range_interpolation,1710,"Wallace Ave",Garwin,IA,"Marshall County",50632,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 SUMMIT ST",MARSHALLTOWN,IA,50158,42.052804,-92.934655,1,rooftop,1301,"Summit St",Marshalltown,IA,"Marshall County",50158,US,Marshall
"8 N 7TH ST",MARSHALLTOWN,IA,50158,42.049898,-92.924331,1,rooftop,8,"N 7th St",Marshalltown,IA,"Marshall County",50158,US,Marshall
"105 W BOONE ST",MARSHALLTOWN,IA,50158,42.045639,-92.914648,1,range_interpolation,105,"W Boone St",Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"601 3RD ST NW","STATE CENTER",IA,50247,42.018649,-93.170999,1,range_interpolation,601,"3rd St NW","State Center",IA,"Marshall County",50247,US,"TIGER/Line® dataset from the US Census Bureau"
"400 S MAIN ST",ALBION,IA,50005,42.108242,-92.989584,1,rooftop,400,"S Main St",Albion,IA,"Marshall County",50005,US,Marshall
"3700 SOTH CENTER ST",MARSHALLTOWN,IA,50158,42.036096,-92.998867,0.33,place,,,Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"711 MORTON AVE",EMERSON,IA,51533,41.017122,-95.401544,1,rooftop,711,"Morton Ave",Emerson,IA,"Mills County",51533,US,Mills
"711 MORTON AVE",EMERSON,IA,51533,41.017122,-95.401544,1,rooftop,711,"Morton Ave",Emerson,IA,"Mills County",51533,US,Mills
"507 E SHARP ST",GLENWOOD,IA,51534,41.046091,-95.744481,1,range_interpolation,507,"E Sharp St",Glenwood,IA,"Mills County",51534,US,"TIGER/Line® dataset from the US Census Bureau"
"504 E SHARP ST",GLENWOOD,IA,51534,41.048914,-95.730807,1,rooftop,504,"E Sharp St",Glenwood,IA,"Mills County",51534,US,Mills
"505 E SHARP ST",GLENWOOD,IA,51534,41.04609,-95.744487,1,range_interpolation,505,"E Sharp St",Glenwood,IA,"Mills County",51534,US,"TIGER/Line® dataset from the US Census Bureau"
"506 E SHARP ST",GLENWOOD,IA,51534,41.046391,-95.744464,1,range_interpolation,506,"E Sharp St",Glenwood,IA,"Mills County",51534,US,"TIGER/Line® dataset from the US Census Bureau"
"No data","No data",IA,,42.281924,-94.110777,1,place,,,Dayton,IA,"Webster County",50530,US,"TIGER/Line® dataset from the US Census Bureau"
"1505 E 15TH ST",MALVERN,IA,51551,41.012598,-95.583257,1,rooftop,1505,"E 15th St",Malvern,IA,"Mills County",51551,US,Mills
"605 MAIN ST",MINEOLA,IA,51554,41.143133,-95.692362,1,rooftop,605,"Main St",Mineola,IA,"Mills County",51554,US,Mills
"109 N VINE ST",GLENWOOD,IA,51534,41.048199,-95.741775,1,rooftop,109,"N Vine St",Glenwood,IA,"Mills County",51534,US,Mills
"417 MAIN ST","SILVER CITY",IA,51571,41.113059,-95.637315,1,rooftop,417,"Main St","Silver City",IA,"Mills County",51571,US,Mills
"18793 HWY 9",OSAGE,IA,50461,43.320773,-92.789683,0.33,place,,,Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"307 WOODLAND AVE",RICEVILLE,IA,50466,43.361171,-92.554349,1,range_interpolation,307,"Woodland Ave",Riceville,IA,"Mitchell County",50466,US,"TIGER/Line® dataset from the US Census Bureau"
"307 WOODLAND AVE",RICEVILLE,IA,50466,43.361171,-92.554349,1,range_interpolation,307,"Woodland Ave",Riceville,IA,"Mitchell County",50466,US,"TIGER/Line® dataset from the US Census Bureau"
"515 CHASE ST",OSAGE,IA,50461,43.285254,-92.813074,1,range_interpolation,515,"Chase St",Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"515 CHASE ST",OSAGE,IA,50461,43.285254,-92.813074,1,range_interpolation,515,"Chase St",Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"504 MAIN ST",OSAGE,IA,50461,43.283934,-92.812917,1,range_interpolation,504,"Main St",Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"504 MAIN ST",OSAGE,IA,50461,43.283934,-92.812917,1,range_interpolation,504,"Main St",Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"416 WILLIAM ST",CARPENTER,IA,50426,43.414877,-93.015467,0.9,range_interpolation,416,"William St",Carpenter,IA,"Mitchell County",50426,US,"TIGER/Line® dataset from the US Census Bureau"
"18793 HWY 9",OSAGE,IA,50461,43.320773,-92.789683,0.33,place,,,Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
"202 SOUTH WASHINGTON STREET","ST ANSGAR",IA,50472,43.37672,-92.923019,1,range_interpolation,202,"S Washington St","Saint Ansgar",IA,"Mitchell County",50472,US,"TIGER/Line® dataset from the US Census Bureau"
"106 N BROAD ST",STACEYVILLE,IA,50476,43.43626,-92.782125,1,range_interpolation,106,"N Broad St",Stacyville,IA,"Mitchell County",50476,US,"TIGER/Line® dataset from the US Census Bureau"
"610 IOWA AVE",ONAWA,IA,51040,42.02805,-96.092353,1,rooftop,610,"Iowa Ave",Onawa,IA,"Monona County",51040,US,Monona
"103 PINE ST",CASTANA,IA,51010,42.074743,-95.9118,1,rooftop,103,"Pine St",Castana,IA,"Monona County",51010,US,Monona
"513 MAIN ST",MAPLETON,IA,51034,42.165986,-95.791037,1,rooftop,513,"Main St",Mapleton,IA,"Monona County",51034,US,Monona
"320 10TH ST",ONAWA,IA,51040,42.036699,-96.097868,1,range_interpolation,320,"10th St",Onawa,IA,"Monona County",51040,US,"TIGER/Line® dataset from the US Census Bureau"
"108 OAK ST",SOLDIER,IA,51572,41.984985,-95.779354,1,range_interpolation,108,"Oak St",Soldier,IA,"Monona County",51572,US,"TIGER/Line® dataset from the US Census Bureau"
"610 IOWA AVE",ONAWA,IA,51040,42.02805,-96.092353,1,rooftop,610,"Iowa Ave",Onawa,IA,"Monona County",51040,US,Monona
"320 10TH ST",ONAWA,IA,51040,42.036699,-96.097868,1,range_interpolation,320,"10th St",Onawa,IA,"Monona County",51040,US,"TIGER/Line® dataset from the US Census Bureau"
"320 10TH ST",ONAWA,IA,51040,42.036699,-96.097868,1,range_interpolation,320,"10th St",Onawa,IA,"Monona County",51040,US,"TIGER/Line® dataset from the US Census Bureau"
"707 IOWA AVE",ONAWA,IA,51040,42.026159,-96.093131,1,rooftop,707,"Iowa Ave",Onawa,IA,"Monona County",51040,US,Monona
"413 MAIN ST",BLENCOE,IA,51523,41.930479,-96.081565,1,range_interpolation,413,"Main St",Blencoe,IA,"Monona County",51523,US,"TIGER/Line® dataset from the US Census Bureau"
"103 W MAIN ST",UTE,IA,51060,42.050327,-95.706587,1,rooftop,103,"W Main St",Ute,IA,"Monona County",51060,US,Monona
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"608 WEST 17TH STREET",LOVILIA,IA,50150,41.134493,-92.907769,0.9,range_interpolation,608,"W 17th St",Lovilia,IA,"Monroe County",50150,US,"TIGER/Line® dataset from the US Census Bureau"
"503 B AVE EAST",ALBIA,IA,52531,41.029105,-92.802711,1,rooftop,503,"B Ave E",Albia,IA,"Monroe County",52531,US,Monroe
"2011 N 8TH ST","RED OAK",IA,51566,41.021872,-95.223461,1,range_interpolation,2011,"N 8th St","Red Oak",IA,"Montgomery County",51566,US,"TIGER/Line® dataset from the US Census Bureau"
"2011 N 8TH ST","RED OAK",IA,51566,41.021872,-95.223461,1,range_interpolation,2011,"N 8th St","Red Oak",IA,"Montgomery County",51566,US,"TIGER/Line® dataset from the US Census Bureau"
"2011 N 8TH ST","RED OAK",IA,51566,41.021872,-95.223461,1,range_interpolation,2011,"N 8th St","Red Oak",IA,"Montgomery County",51566,US,"TIGER/Line® dataset from the US Census Bureau"
"403 MAIN ST",ELLIOTT,IA,51532,41.149421,-95.161521,1,range_interpolation,403,"Main St",Elliott,IA,"Montgomery County",51532,US,"TIGER/Line® dataset from the US Census Bureau"
"102 U AVE",GRANT,IA,50847,41.141046,-94.984616,1,range_interpolation,102,"U Ave",Grant,IA,"Montgomery County",50847,US,"TIGER/Line® dataset from the US Census Bureau"
"501 ELLIOTT ST",STANTON,IA,51573,40.984188,-95.101506,1,rooftop,501,"Elliott St",Stanton,IA,"Montgomery County",51573,US,Montgomery
"406 E 3RD ST",VILLISCA,IA,50864,40.929713,-94.974557,1,range_interpolation,406,"E 3rd St",Villisca,IA,"Montgomery County",50864,US,"TIGER/Line® dataset from the US Census Bureau"
"2900 MULBERRY AVE.",MUSCATINE,IA,52761,41.44343,-91.067123,1,range_interpolation,2900,"Mulberry Ave",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"104 SAND RUN RD.",FRUITLAND,IA,52749,41.355625,-91.123812,1,range_interpolation,104,"Sand Run Rd",Fruitland,IA,"Muscatine County",52749,US,"TIGER/Line® dataset from the US Census Bureau"
"3300 CEDAR ST.",MUSCATINE,IA,52761,41.435847,-91.08,1,range_interpolation,3300,"Cedar St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"318 COMMERCE ST.",STOCKTON,IA,52769,41.591043,-90.854399,1,range_interpolation,318,"Commerce St",Stockton,IA,"Muscatine County",52769,US,"TIGER/Line® dataset from the US Census Bureau"
"122 3RD ST.",ATALISSA,IA,52720,41.571922,-91.164629,1,range_interpolation,122,"3rd St",Atalissa,IA,"Muscatine County",52720,US,"TIGER/Line® dataset from the US Census Bureau"
"621 KINDLER AVE.",MUSCATINE,IA,52761,41.429178,-91.071224,1,range_interpolation,621,"Kindler Ave",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"403 E. 9TH ST.",MUSCATINE,IA,52761,41.428773,-91.048126,1,range_interpolation,403,"E 9th St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"3211 MULBERRY AVE.",MUSCATINE,IA,52761,41.444671,-91.075521,1,range_interpolation,3211,"Mulberry Ave",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
"408 E. 2ND ST.",MUSCATINE,IA,52761,41.423016,-91.042355,1,range_interpolation,408,"E 2nd St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
